Image 0 : 0.999956, 3.89891e-05, 4.17023e-06, 7.79471e-07, 9.25272e-08
Image 1 : 1, 7.57325e-08, 1.93143e-08, 2.66351e-09, 3.5873e-10
Image 2 : 0.999906, 6.15673e-05, 1.73904e-05, 5.20346e-06, 5.05959e-06
Image 3 : 0.999593, 0.000405107, 7.25514e-07, 4.72809e-07, 2.02683e-07
Image 4 : 0.99995, 4.89369e-05, 1.02314e-06, 1.30877e-07, 7.15196e-08
Image 5 : 0.999967, 3.09363e-05, 1.34868e-06, 1.33309e-07, 1.10598e-07
Image 6 : 0.999162, 0.000738244, 7.54298e-05, 1.55754e-05, 4.91342e-06
Image 7 : 0.999797, 0.000151036, 2.65947e-05, 1.31907e-05, 5.51333e-06
Image 8 : 0.942528, 0.0548971, 0.00252509, 4.13128e-05, 5.5904e-06
Image 9 : 0.999995, 3.31334e-06, 1.31415e-06, 1.50868e-07, 2.55539e-08
Image 10 : 1, 5.38971e-08, 2.55325e-08, 1.56722e-09, 9.83032e-10
Image 11 : 1, 3.96743e-07, 5.46829e-08, 1.04032e-09, 5.41144e-11
Image 12 : 0.999939, 5.3034e-05, 5.4553e-06, 1.63906e-06, 5.22053e-07
Image 13 : 0.999997, 1.25186e-06, 1.15143e-06, 5.99111e-08, 5.38699e-08
Image 14 : 0.999987, 4.92367e-06, 3.71413e-06, 2.60457e-06, 1.66041e-06
Image 15 : 0.999727, 0.000272724, 3.95108e-07, 2.65375e-08, 2.63183e-08
Image 16 : 0.999908, 4.33353e-05, 3.85521e-05, 1.01758e-05, 1.34376e-07
Image 17 : 0.999986, 1.10572e-05, 1.49885e-06, 9.26519e-07, 1.82073e-08
Image 18 : 0.932888, 0.0606774, 0.00557024, 0.000771993, 8.7559e-05
Image 19 : 0.999998, 1.502e-06, 7.89403e-08, 2.17197e-08, 1.46257e-08
Image 20 : 0.999209, 0.000762519, 1.31957e-05, 7.65823e-06, 3.90917e-06
Image 21 : 0.993394, 0.00660453, 1.16297e-06, 2.34473e-08, 6.08956e-09
Image 22 : 1, 3.11228e-07, 6.49109e-08, 5.67237e-08, 1.0875e-08
Image 23 : 1, 3.97469e-07, 1.21705e-08, 8.59379e-09, 2.95839e-09
Image 24 : 0.999984, 7.39091e-06, 5.33311e-06, 1.17938e-06, 6.90268e-07
Image 25 : 0.999852, 0.000143932, 1.66692e-06, 1.24096e-06, 3.61415e-07
Image 26 : 0.9995, 0.000351181, 0.000106706, 3.28916e-05, 6.00431e-06
Image 27 : 1, 4.23159e-10, 3.01982e-11, 1.99601e-11, 1.32615e-11
Image 28 : 0.999995, 4.30839e-06, 4.67432e-07, 1.00546e-08, 7.22474e-09
Image 29 : 0.9988, 0.000698287, 0.000430389, 2.80688e-05, 2.30322e-05
Image 30 : 1, 8.86666e-09, 4.72781e-10, 1.01325e-11, 3.56223e-12
Image 31 : 0.998852, 0.000653749, 0.000204223, 0.00016738, 7.76193e-05
Image 32 : 1, 1.48568e-07, 3.53679e-09, 2.52531e-09, 4.36742e-10
Image 33 : 0.999595, 0.000224919, 0.000174187, 5.95477e-06, 1.71308e-07
Image 34 : 0.999999, 2.99144e-07, 2.35028e-07, 1.82014e-08, 6.71176e-09
Image 35 : 0.999995, 4.75983e-06, 3.2336e-07, 2.45859e-09, 1.55205e-09
Image 36 : 0.85884, 0.140996, 0.000133365, 2.74671e-05, 2.66678e-06
Image 37 : 0.999933, 2.9173e-05, 2.43655e-05, 1.17018e-05, 1.11023e-06
Image 38 : 0.999967, 1.57926e-05, 8.79398e-06, 5.18608e-06, 1.79721e-06
Image 39 : 0.999992, 4.40322e-06, 2.5e-06, 4.3067e-07, 3.98116e-07
Image 40 : 0.999047, 0.000656662, 0.000107934, 9.26959e-05, 4.03651e-05
